metal_dir,file_stem,xyz_path,mol2_path,has_mol2,file_size_xyz,file_size_mol2,metal_symbol,atomic_number,oxidation_state,coreCN,n_ligs,inner_sphere_anion,geometry_hash,parsed_name_ok
La,La_Z57_ox3_CN9_nlig2_nitrate_b3acce98c3f1,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_b3acce98c3f1.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_b3acce98c3f1.mol2,True,12092,7734,La,57,3,9,2,nitrate,b3acce98c3f1,True
La,La_Z57_ox3_CN9_nlig2_nitrate_cae25950ae7e,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_cae25950ae7e.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_cae25950ae7e.mol2,True,40167,25155,La,57,3,9,2,nitrate,cae25950ae7e,True
La,La_Z57_ox3_CN9_nlig2_nitrate_d34bcf644124,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_d34bcf644124.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_d34bcf644124.mol2,True,38299,23862,La,57,3,9,2,nitrate,d34bcf644124,True
La,La_Z57_ox3_CN9_nlig2_nitrate_e0b3afb2d971,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_e0b3afb2d971.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_e0b3afb2d971.mol2,True,30814,19446,La,57,3,9,2,nitrate,e0b3afb2d971,True
La,La_Z57_ox3_CN9_nlig2_nitrate_e8a069653872,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_e8a069653872.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_e8a069653872.mol2,True,23948,15270,La,57,3,9,2,nitrate,e8a069653872,True
La,La_Z57_ox3_CN9_nlig2_nitrate_ffd5aab1aceb,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_ffd5aab1aceb.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig2_nitrate_ffd5aab1aceb.mol2,True,33933,21227,La,57,3,9,2,nitrate,ffd5aab1aceb,True
La,La_Z57_ox3_CN9_nlig2_water_59820f9615bf,data/geometries/La/La_Z57_ox3_CN9_nlig2_water_59820f9615bf.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig2_water_59820f9615bf.mol2,True,40169,25158,La,57,3,9,2,water,59820f9615bf,True
La,La_Z57_ox3_CN9_nlig3_nitrate_04a989df1e78,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_04a989df1e78.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_04a989df1e78.mol2,True,27070,17166,La,57,3,9,3,nitrate,04a989df1e78,True
La,La_Z57_ox3_CN9_nlig3_nitrate_195a6a071085,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_195a6a071085.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_195a6a071085.mol2,True,53275,33075,La,57,3,9,3,nitrate,195a6a071085,True
La,La_Z57_ox3_CN9_nlig3_nitrate_245aab76c27a,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_245aab76c27a.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_nitrate_245aab76c27a.mol2,True,27065,17166,La,57,3,9,3,nitrate,245aab76c27a,True
